country,site,year,valid_daily_count,mean_daily_discharge_m3s,normalized_annual_flow_raw,hydrology_state
Ethiopia,ethiopia_el_diem,1980,365,2387.51,1.331,H
Ethiopia,ethiopia_el_diem,1981,365,1808.14,1.008,N
Ethiopia,ethiopia_el_diem,1982,365,1688.05,0.941,N
Ethiopia,ethiopia_el_diem,1983,365,1908.75,1.0641,N
Ethiopia,ethiopia_el_diem,1984,366,1789.25,0.9975,N
Ethiopia,ethiopia_el_diem,1985,365,2467.43,1.3755,H
Ethiopia,ethiopia_el_diem,1986,365,2008.51,1.1197,H
Ethiopia,ethiopia_el_diem,1987,365,2122.58,1.1833,H
Ethiopia,ethiopia_el_diem,1988,366,2030.03,1.1317,H
Ethiopia,ethiopia_el_diem,1989,365,1913.41,1.0667,N
Ethiopia,ethiopia_el_diem,1990,365,1683.75,0.9386,N
Ethiopia,ethiopia_el_diem,1991,365,1493.3,0.8325,L
Ethiopia,ethiopia_el_diem,1992,366,1424.85,0.7943,L
Ethiopia,ethiopia_el_diem,1993,365,1949.18,1.0866,H
Ethiopia,ethiopia_el_diem,1994,365,1507.99,0.8407,L
Ethiopia,ethiopia_el_diem,1995,365,1456.33,0.8119,L
Ethiopia,ethiopia_el_diem,1996,366,2167.72,1.2084,H
Ethiopia,ethiopia_el_diem,1997,365,1747.51,0.9742,N
Ethiopia,ethiopia_el_diem,1998,365,2175.5,1.2128,H
Ethiopia,ethiopia_el_diem,1999,365,1823.73,1.0167,N
Ethiopia,ethiopia_el_diem,2000,366,1987.99,1.1083,H
Ethiopia,ethiopia_el_diem,2001,365,1919.26,1.0699,N
Ethiopia,ethiopia_el_diem,2002,365,1585.53,0.8839,L
Ethiopia,ethiopia_el_diem,2003,365,1454.58,0.8109,L
Ethiopia,ethiopia_el_diem,2004,366,1732.78,0.966,N
Ethiopia,ethiopia_el_diem,2005,365,1996.32,1.1129,H
Ethiopia,ethiopia_el_diem,2006,365,1993.32,1.1112,H
Ethiopia,ethiopia_el_diem,2007,365,1928.52,1.0751,N
Ethiopia,ethiopia_el_diem,2008,366,1675.93,0.9343,L
Ethiopia,ethiopia_el_diem,2009,365,1314.94,0.733,L
Ethiopia,ethiopia_el_diem,2010,365,1930.23,1.076,H
Ethiopia,ethiopia_el_diem,2011,365,1676.84,0.9348,L
Ethiopia,ethiopia_el_diem,2012,366,1753.61,0.9776,N
Ethiopia,ethiopia_el_diem,2013,365,1695.04,0.9449,N
Ethiopia,ethiopia_el_diem,2014,365,2029.05,1.1311,H
Ethiopia,ethiopia_el_diem,2015,365,1454.93,0.8111,L
Ethiopia,ethiopia_el_diem,2016,366,1775.1,0.9896,N
Ethiopia,ethiopia_el_diem,2017,365,1976.18,1.1017,H
Ethiopia,ethiopia_el_diem,2018,365,1654.44,0.9223,L
Ethiopia,ethiopia_el_diem,2019,365,2030.93,1.1322,H
Ethiopia,ethiopia_el_diem,2020,366,1823.16,1.0164,N
Ethiopia,ethiopia_el_diem,2021,365,1550.84,0.8646,L
Ethiopia,ethiopia_el_diem,2022,365,1380.91,0.7698,L
Ethiopia,ethiopia_el_diem,2023,365,1431.65,0.7981,L
Ethiopia,ethiopia_el_diem,2024,366,1415.88,0.7893,L
Zimbabwe,zimbabwe_victoria_falls,1980,365,1246.81,1.0753,N
Zimbabwe,zimbabwe_victoria_falls,1981,365,1794.94,1.5481,H
Zimbabwe,zimbabwe_victoria_falls,1982,365,992.68,0.8562,L
Zimbabwe,zimbabwe_victoria_falls,1983,365,1098.28,0.9472,N
Zimbabwe,zimbabwe_victoria_falls,1984,366,992.73,0.8562,N
Zimbabwe,zimbabwe_victoria_falls,1985,365,1428.37,1.2319,H
Zimbabwe,zimbabwe_victoria_falls,1986,365,1033.33,0.8912,N
Zimbabwe,zimbabwe_victoria_falls,1987,365,904.51,0.7801,L
Zimbabwe,zimbabwe_victoria_falls,1988,366,981.32,0.8464,L
Zimbabwe,zimbabwe_victoria_falls,1989,365,1744.62,1.5047,H
Zimbabwe,zimbabwe_victoria_falls,1990,365,1063.26,0.917,N
Zimbabwe,zimbabwe_victoria_falls,1991,365,913.07,0.7875,L
Zimbabwe,zimbabwe_victoria_falls,1992,366,510.66,0.4404,L
Zimbabwe,zimbabwe_victoria_falls,1993,365,1737.85,1.4988,H
Zimbabwe,zimbabwe_victoria_falls,1994,365,1215.75,1.0485,N
Zimbabwe,zimbabwe_victoria_falls,1995,365,446.31,0.3849,L
Zimbabwe,zimbabwe_victoria_falls,1996,366,595.25,0.5134,L
Zimbabwe,zimbabwe_victoria_falls,1997,365,1282.38,1.106,N
Zimbabwe,zimbabwe_victoria_falls,1998,365,872.09,0.7521,L
Zimbabwe,zimbabwe_victoria_falls,1999,365,926.8,0.7993,L
Zimbabwe,zimbabwe_victoria_falls,2000,366,1158.95,0.9996,N
Zimbabwe,zimbabwe_victoria_falls,2001,365,1227.28,1.0585,N
Zimbabwe,zimbabwe_victoria_falls,2002,365,550.16,0.4745,L
Zimbabwe,zimbabwe_victoria_falls,2003,365,765.89,0.6605,L
Zimbabwe,zimbabwe_victoria_falls,2004,366,1175.24,1.0136,N
Zimbabwe,zimbabwe_victoria_falls,2005,365,430.64,0.3714,L
Zimbabwe,zimbabwe_victoria_falls,2006,365,1189.58,1.026,N
Zimbabwe,zimbabwe_victoria_falls,2007,365,1338.56,1.1545,H
Zimbabwe,zimbabwe_victoria_falls,2008,366,1892.18,1.6319,H
Zimbabwe,zimbabwe_victoria_falls,2009,365,1636.74,1.4116,H
Zimbabwe,zimbabwe_victoria_falls,2010,365,1237.45,1.0673,N
Zimbabwe,zimbabwe_victoria_falls,2011,365,1533.66,1.3227,H
Zimbabwe,zimbabwe_victoria_falls,2012,366,1363.36,1.1759,H
Zimbabwe,zimbabwe_victoria_falls,2013,365,1726.3,1.4889,H
Zimbabwe,zimbabwe_victoria_falls,2014,365,1447.37,1.2483,H
Zimbabwe,zimbabwe_victoria_falls,2015,365,777.77,0.6708,L
Zimbabwe,zimbabwe_victoria_falls,2016,366,1118.94,0.965,N
Zimbabwe,zimbabwe_victoria_falls,2017,365,1719.52,1.483,H
Zimbabwe,zimbabwe_victoria_falls,2018,365,1820.9,1.5705,H
Zimbabwe,zimbabwe_victoria_falls,2019,365,441.46,0.3807,L
Zimbabwe,zimbabwe_victoria_falls,2020,366,1299.31,1.1206,N
Zimbabwe,zimbabwe_victoria_falls,2021,365,1770.95,1.5274,H
Zimbabwe,zimbabwe_victoria_falls,2022,365,1300.57,1.1217,H
Zimbabwe,zimbabwe_victoria_falls,2023,365,1136.89,0.9805,N
Zimbabwe,zimbabwe_victoria_falls,2024,366,335.45,0.2893,L
