country,site,year,hydrology_state
Ethiopia,ethiopia_el_diem,1980,H
Ethiopia,ethiopia_el_diem,1981,N
Ethiopia,ethiopia_el_diem,1982,N
Ethiopia,ethiopia_el_diem,1983,N
Ethiopia,ethiopia_el_diem,1984,N
Ethiopia,ethiopia_el_diem,1985,H
Ethiopia,ethiopia_el_diem,1986,H
Ethiopia,ethiopia_el_diem,1987,H
Ethiopia,ethiopia_el_diem,1988,H
Ethiopia,ethiopia_el_diem,1989,N
Ethiopia,ethiopia_el_diem,1990,N
Ethiopia,ethiopia_el_diem,1991,L
Ethiopia,ethiopia_el_diem,1992,L
Ethiopia,ethiopia_el_diem,1993,H
Ethiopia,ethiopia_el_diem,1994,L
Ethiopia,ethiopia_el_diem,1995,L
Ethiopia,ethiopia_el_diem,1996,H
Ethiopia,ethiopia_el_diem,1997,N
Ethiopia,ethiopia_el_diem,1998,H
Ethiopia,ethiopia_el_diem,1999,N
Ethiopia,ethiopia_el_diem,2000,H
Ethiopia,ethiopia_el_diem,2001,N
Ethiopia,ethiopia_el_diem,2002,L
Ethiopia,ethiopia_el_diem,2003,L
Ethiopia,ethiopia_el_diem,2004,N
Ethiopia,ethiopia_el_diem,2005,H
Ethiopia,ethiopia_el_diem,2006,H
Ethiopia,ethiopia_el_diem,2007,N
Ethiopia,ethiopia_el_diem,2008,L
Ethiopia,ethiopia_el_diem,2009,L
Ethiopia,ethiopia_el_diem,2010,H
Ethiopia,ethiopia_el_diem,2011,L
Ethiopia,ethiopia_el_diem,2012,N
Ethiopia,ethiopia_el_diem,2013,N
Ethiopia,ethiopia_el_diem,2014,H
Ethiopia,ethiopia_el_diem,2015,L
Ethiopia,ethiopia_el_diem,2016,N
Ethiopia,ethiopia_el_diem,2017,H
Ethiopia,ethiopia_el_diem,2018,L
Ethiopia,ethiopia_el_diem,2019,H
Ethiopia,ethiopia_el_diem,2020,N
Ethiopia,ethiopia_el_diem,2021,L
Ethiopia,ethiopia_el_diem,2022,L
Ethiopia,ethiopia_el_diem,2023,L
Ethiopia,ethiopia_el_diem,2024,L
Zimbabwe,zimbabwe_victoria_falls,1980,N
Zimbabwe,zimbabwe_victoria_falls,1981,H
Zimbabwe,zimbabwe_victoria_falls,1982,L
Zimbabwe,zimbabwe_victoria_falls,1983,N
Zimbabwe,zimbabwe_victoria_falls,1984,N
Zimbabwe,zimbabwe_victoria_falls,1985,H
Zimbabwe,zimbabwe_victoria_falls,1986,N
Zimbabwe,zimbabwe_victoria_falls,1987,L
Zimbabwe,zimbabwe_victoria_falls,1988,L
Zimbabwe,zimbabwe_victoria_falls,1989,H
Zimbabwe,zimbabwe_victoria_falls,1990,N
Zimbabwe,zimbabwe_victoria_falls,1991,L
Zimbabwe,zimbabwe_victoria_falls,1992,L
Zimbabwe,zimbabwe_victoria_falls,1993,H
Zimbabwe,zimbabwe_victoria_falls,1994,N
Zimbabwe,zimbabwe_victoria_falls,1995,L
Zimbabwe,zimbabwe_victoria_falls,1996,L
Zimbabwe,zimbabwe_victoria_falls,1997,N
Zimbabwe,zimbabwe_victoria_falls,1998,L
Zimbabwe,zimbabwe_victoria_falls,1999,L
Zimbabwe,zimbabwe_victoria_falls,2000,N
Zimbabwe,zimbabwe_victoria_falls,2001,N
Zimbabwe,zimbabwe_victoria_falls,2002,L
Zimbabwe,zimbabwe_victoria_falls,2003,L
Zimbabwe,zimbabwe_victoria_falls,2004,N
Zimbabwe,zimbabwe_victoria_falls,2005,L
Zimbabwe,zimbabwe_victoria_falls,2006,N
Zimbabwe,zimbabwe_victoria_falls,2007,H
Zimbabwe,zimbabwe_victoria_falls,2008,H
Zimbabwe,zimbabwe_victoria_falls,2009,H
Zimbabwe,zimbabwe_victoria_falls,2010,N
Zimbabwe,zimbabwe_victoria_falls,2011,H
Zimbabwe,zimbabwe_victoria_falls,2012,H
Zimbabwe,zimbabwe_victoria_falls,2013,H
Zimbabwe,zimbabwe_victoria_falls,2014,H
Zimbabwe,zimbabwe_victoria_falls,2015,L
Zimbabwe,zimbabwe_victoria_falls,2016,N
Zimbabwe,zimbabwe_victoria_falls,2017,H
Zimbabwe,zimbabwe_victoria_falls,2018,H
Zimbabwe,zimbabwe_victoria_falls,2019,L
Zimbabwe,zimbabwe_victoria_falls,2020,N
Zimbabwe,zimbabwe_victoria_falls,2021,H
Zimbabwe,zimbabwe_victoria_falls,2022,H
Zimbabwe,zimbabwe_victoria_falls,2023,N
Zimbabwe,zimbabwe_victoria_falls,2024,L
