country,origin_state,destination_state,count,row_total,p_empirical,p_jeffreys_alpha_0_5
Ethiopia,L,L,7,14,0.5,0.4839
Ethiopia,L,N,3,14,0.2143,0.2258
Ethiopia,L,H,4,14,0.2857,0.2903
Ethiopia,N,L,4,15,0.2667,0.2727
Ethiopia,N,N,5,15,0.3333,0.3333
Ethiopia,N,H,6,15,0.4,0.3939
Ethiopia,H,L,4,15,0.2667,0.2727
Ethiopia,H,N,7,15,0.4667,0.4545
Ethiopia,H,H,4,15,0.2667,0.2727
Zimbabwe,L,L,5,14,0.3571,0.3548
Zimbabwe,L,N,7,14,0.5,0.4839
Zimbabwe,L,H,2,14,0.1429,0.1613
Zimbabwe,N,L,7,15,0.4667,0.4545
Zimbabwe,N,N,2,15,0.1333,0.1515
Zimbabwe,N,H,6,15,0.4,0.3939
Zimbabwe,H,L,3,15,0.2,0.2121
Zimbabwe,H,N,5,15,0.3333,0.3333
Zimbabwe,H,H,7,15,0.4667,0.4545
